原文	语言	首选简中译名	别名	类别	适用作品	备注	依据	状态
オーダースーツ	ja	オーダースーツ		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SDODR000	verified
Order Suit Replica	en	秩序装 复制		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SDODR200	verified
オーダースーツ レプリカ	ja	秩序装 复制		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SDODR200	verified
Lumberjack Shirt	en	秋季法兰绒衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT000	verified
オータムネル	ja	秋季法兰绒衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT000	verified
Rodeo Shirt	en	鱿鱼刺绣西部衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT001	verified
イカスタンシャツ	ja	鱿鱼刺绣西部衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT001	verified
Green-Check Shirt	en	嘉顿格纹衬衫 绿色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT002	verified
ギンガムチェック ミドリ	ja	嘉顿格纹衬衫 绿色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT002	verified
White Shirt	en	白色衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT003	verified
シロシャツ	ja	白色衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT003	verified
Urchins Jersey	en	海胆BB衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT004	verified
ウーニーズBBシャツ	ja	海胆BB衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT004	verified
Aloha Shirt	en	舞动鱿鱼夏威夷衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT005	verified
おどるイカアロハ	ja	舞动鱿鱼夏威夷衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT005	verified
Red-Check Shirt	en	嘉顿格纹衬衫 红色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT006	verified
ギンガムチェック アカ	ja	嘉顿格纹衬衫 红色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT006	verified
Baby-Jelly Shirt	en	小小水母衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT007	verified
ベイビークラゲシャツ	ja	小小水母衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT007	verified
Baseball Jersey	en	棒球运动服		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT008	verified
ミスターベースボール	ja	棒球运动服		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT008	verified
Gray Mixed Shirt	en	拼接衬衫 灰色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT009	verified
ミックスシャツ グレー	ja	拼接衬衫 灰色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT009	verified
Vintage Check Shirt	en	怀旧格纹衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT010	verified
ヴィンテージチェック	ja	怀旧格纹衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT010	verified
Round-Collar Shirt	en	圆领衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT011	verified
マルエリシャツ	ja	圆领衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT011	verified
Logo Aloha Shirt	en	很多Logo夏威夷衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT012	verified
ロゴマシマシアロハ	ja	很多Logo夏威夷衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT012	verified
Striped Shirt	en	条纹衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT013	verified
ブロックストライプシャツ	ja	条纹衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT013	verified
Linen Shirt	en	青年布衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT014	verified
シャンブレーシャツ	ja	青年布衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT014	verified
Shirt & Tie	en	领带衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT015	verified
タイシャツ	ja	领带衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT015	verified
Hula Punk Shirt	en	彼得朋克衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT017	verified
ピーターパンクシャツ	ja	彼得朋克衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT017	verified
Octobowler Shirt	en	章鱼保龄球衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT018	verified
タコボウラーシャツ	ja	章鱼保龄球衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT018	verified
Inkfall Shirt	en	墨汁喷洒衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT019	verified
スミカケシャツ	ja	墨汁喷洒衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT019	verified
Crimson Parashooter	en	降落伞上衣 石榴红		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT020	verified
パラシューター ザクロ	ja	降落伞上衣 石榴红		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT020	verified
Baby-Jelly Shirt & Tie	en	小小水母领带衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT021	verified
タイツキベイビークラゲ	ja	小小水母领带衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT021	verified
Prune Parashooter	en	降落伞上衣 李子蓝		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT022	verified
パラシューター プルーン	ja	降落伞上衣 李子蓝		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT022	verified
Red Hula Punk with Tie	en	彼得朋克领带衬衫 血红色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT023	verified
ピーターパンクタイ ブラッド	ja	彼得朋克领带衬衫 血红色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT023	verified
Chili Octo Aloha	en	扁面蛸夏威夷衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT024	verified
チリメンタコアロハ	ja	扁面蛸夏威夷衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT024	verified
Annaki Flannel Hoodie	en	无法无天法兰绒连帽上衣		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT025	verified
アナアキオンブレネル	ja	无法无天法兰绒连帽上衣		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT025	verified
Ink-Wash Shirt	en	墨汁脱落衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT026	verified
スミヌキシャツ	ja	墨汁脱落衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT026	verified
Dots-on-Dots Shirt	en	多重点点衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT027	verified
レイヤードットシャツ	ja	多重点点衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT027	verified
Toni K. Baseball Jersey	en	剑尖BBB衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT028	verified
タタキBBBシャツ	ja	剑尖BBB衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT028	verified
Seahorse Shoreliner	en	海马古巴衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT030	verified
タツノコキューバ	ja	海马古巴衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT030	verified
Button-Clown Shirt	en	小丑衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT031	verified
ピエロシャツ	ja	小丑衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT031	verified
Trooper Top	en	虾蛄侦察兵		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT032	verified
ジャコスカウト	ja	虾蛄侦察兵		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT032	verified
Business Animal	en	鱼片衬衫 野外观察		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT033	verified
フィレシャツ サファリ	ja	鱼片衬衫 野外观察		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT033	verified
Fancyfish Stitch	en	绣花衬衫 烟管鱼		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT034	verified
ステッチシャツ ヤガラ	ja	绣花衬衫 烟管鱼		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT034	verified
Dark Splash Shirt	en	漏墨衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT035	verified
スミコボシシャツ	ja	漏墨衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT035	verified
Fashion Splash Shirt	en	喷墨衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT036	verified
スミチラシシャツ	ja	喷墨衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT036	verified
Hype Stripe Button Up	en	立领衬衫 条纹		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT037	verified
バンドカラー ストライプ	ja	立领衬衫 条纹		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT037	verified
Base White Button Up	en	立领衬衫 素色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT038	verified
バンドカラー ムジ	ja	立领衬衫 素色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT038	verified
Rad Plaid Casual	en	拼接衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT039	verified
パッチワークシャツ	ja	拼接衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT039	verified
Urban Upcycle Top	en	鱼片衬衫 城市		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT040	verified
フィレシャツ アーバン	ja	鱼片衬衫 城市		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT040	verified
Barrelfish Baseball Uni	en	条石鲷队条纹制服		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT041	verified
イシダイストライプスユニ	ja	条石鲷队条纹制服		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT041	verified
Coral Bloom Aloha	en	海洋度假区夏威夷衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT042	verified
オーシャンリゾートアロハ	ja	海洋度假区夏威夷衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT042	verified
Kelp Trooper Top	en	虾蛄侦察兵 油甘鱼		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT043	verified
ジャコスカウト ハマチ	ja	虾蛄侦察兵 油甘鱼		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SHT043	verified
Gray College Sweat	en	学院风套头衫 灰色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT000	verified
カレッジスウェット グレー	ja	学院风套头衫 灰色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT000	verified
Squidmark Sweat	en	鱿鱼交叉套头衫 芥末黄		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT001	verified
イカバッテン マスタード	ja	鱿鱼交叉套头衫 芥末黄		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT001	verified
Retro Sweat	en	复古运动服		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT002	verified
レトロジャッジ	ja	复古运动服		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT002	verified
Firefin Navy Sweat	en	暖流套头衫 海军蓝		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT003	verified
ホッコリー ネイビー	ja	暖流套头衫 海军蓝		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT003	verified
Navy College Sweat	en	学院风套头衫 海军蓝		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT004	verified
カレッジスウェット ネイビー	ja	学院风套头衫 海军蓝		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT004	verified
Reel Sweat	en	滑轮套头衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT005	verified
リールロールスウェット	ja	滑轮套头衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT005	verified
Anchor Sweat	en	船锚套头衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT006	verified
イカリスウェット	ja	船锚套头衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT006	verified
Negative Longcuff Sweater	en	长版套头衫 负片		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT007	verified
ドロップスウェット ネガ	ja	长版套头衫 负片		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT007	verified
Short Knit Layers	en	短版针织衫连衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT008	verified
ショートニットカサネ	ja	短版针织衫连衬衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT008	verified
Positive Longcuff Sweater	en	长版套头衫 正片		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT009	verified
ドロップスウェット ポジ	ja	长版套头衫 正片		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT009	verified
Annaki Blue Cuff	en	无法无天针织衫 蓝色袖子		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT010	verified
アナアキニット アオソデ	ja	无法无天针织衫 蓝色袖子		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT010	verified
Annaki Yellow Cuff	en	无法无天针织衫 黄色袖子		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT011	verified
アナアキニット キソデ	ja	无法无天针织衫 黄色袖子		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT011	verified
Annaki Red Cuff	en	无法无天针织衫 红色袖子		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT012	verified
アナアキニット アカソデ	ja	无法无天针织衫 红色袖子		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT012	verified
N-Pacer Sweat	en	皇耆训练套头衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT013	verified
エンペーサートレーナー	ja	皇耆训练套头衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT013	verified
Octarian Retro	en	复古章鱼族上衣		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT014	verified
オクタリアンレトロ	ja	复古章鱼族上衣		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT014	verified
Takoroka Jersey	en	暇古防风运动上衣		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT015	verified
ヤコピステ	ja	暇古防风运动上衣		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT015	verified
Manatee Swag Sweat	en	海月海牛套头衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT016	verified
クラマナスウェット	ja	海月海牛套头衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT016	verified
Apex Sweater	en	3D针织衫 鲨鱼		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT017	verified
3Dニット シャーク	ja	3D针织衫 鲨鱼		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT017	verified
Octo Jumper Away	en	章鱼防风运动上衣 蓝色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT018	verified
タコピステ ブルー	ja	章鱼防风运动上衣 蓝色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT018	verified
Octo Jumper Home	en	章鱼防风运动上衣 白色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT019	verified
タコピステ ホワイト	ja	章鱼防风运动上衣 白色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT019	verified
Moby Knit	en	3D针织衫 鲸鱼		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT020	verified
3Dニット ホエール	ja	3D针织衫 鲸鱼		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT020	verified
Lemon Hoodless	en	无帽厚上衣 黄色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT021	verified
フードレスパーカー イエロー	ja	无帽厚上衣 黄色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT021	verified
Motley Hoodless	en	无帽厚上衣 彩色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT022	verified
フードレスパーカー マルチ	ja	无帽厚上衣 彩色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT022	verified
Lime Hoodless	en	无帽厚上衣 绿色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT023	verified
フードレスパーカー グリーン	ja	无帽厚上衣 绿色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT023	verified
Fuzzly Sweater	en	乱藻藻针织衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT024	verified
ワケワカメニット	ja	乱藻藻针织衫		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT024	verified
Fringehead Hoodless	en	CFH连帽上衣		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT025	verified
CFHパーカー	ja	CFH连帽上衣		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#SWT025	verified
White Striped LS	en	横纹长袖上衣 白色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL000	verified
ボーダーホワイト	ja	横纹长袖上衣 白色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL000	verified
Black LS	en	长袖上衣 黑色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL001	verified
バニーポップ ブラック	ja	长袖上衣 黑色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL001	verified
Purple Camo LS	en	迷彩长袖上衣 紫色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL002	verified
カモフラパープル	ja	迷彩长袖上衣 紫色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL002	verified
Navy Striped LS	en	横纹长袖上衣 海军蓝		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL003	verified
ボーダーネイビー	ja	横纹长袖上衣 海军蓝		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL003	verified
Zekko Baseball LS	en	泽酷插肩袖上衣		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL004	verified
エゾッコラグラン	ja	泽酷插肩袖上衣		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL004	verified
Varsity Baseball LS	en	学院风插肩袖上衣		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL005	verified
カレッジラグラン	ja	学院风插肩袖上衣		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL005	verified
Black Baseball LS	en	插肩袖上衣 黑色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL006	verified
ハラグロラグラン	ja	插肩袖上衣 黑色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL006	verified
White Baseball LS	en	插肩袖上衣 白色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL007	verified
ハラシロラグラン	ja	插肩袖上衣 白色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL007	verified
White LS	en	战斗长袖上衣 白色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL008	verified
バトロング ホワイト	ja	战斗长袖上衣 白色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL008	verified
Green Striped LS	en	横纹长袖上衣 青苔绿		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL009	verified
ボーダーモスグリーン	ja	横纹长袖上衣 青苔绿		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL009	verified
Squidmark LS	en	鱿鱼交叉长袖上衣		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL010	verified
イカバッテンロング	ja	鱿鱼交叉长袖上衣		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL010	verified
Zink LS	en	钢铁先锋长袖上衣		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL011	verified
アイロニックロング	ja	钢铁先锋长袖上衣		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL011	verified
Striped Peaks LS	en	山岳横纹长袖上衣		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL012	verified
ヤマビコボーダー	ja	山岳横纹长袖上衣		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL012	verified
Pink Easy-Stripe Shirt	en	宽松横纹长袖上衣 粉红色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL013	verified
ゆとりボーダー ピンク	ja	宽松横纹长袖上衣 粉红色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL013	verified
Inkopolis Squaps Jersey	en	飞鱼HK制服		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL014	verified
トビウォーズHKユニ	ja	飞鱼HK制服		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL014	verified
Annaki Drive Tee	en	无法无天长袖T恤 驾驶		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL015	verified
アナアキロンT ドライブ	ja	无法无天长袖T恤 驾驶		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL015	verified
Lime Easy-Stripe Shirt	en	宽松横纹长袖上衣 莱姆绿		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL016	verified
ゆとりボーダー ライム	ja	宽松横纹长袖上衣 莱姆绿		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL016	verified
Annaki Evolution Tee	en	无法无天长袖T恤 进化		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL017	verified
アナアキロンT イボルブ	ja	无法无天长袖T恤 进化		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL017	verified
Zekko Long Carrot Tee	en	泽酷长袖T恤 胡萝卜		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL018	verified
エゾッコロンTキャロット	ja	泽酷长袖T恤 胡萝卜		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL018	verified
Zekko Long Radish Tee	en	泽酷长袖T恤 樱桃萝卜		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL019	verified
エゾッコロンTラディッシュ	ja	泽酷长袖T恤 樱桃萝卜		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL019	verified
Black Cuttlegear LS	en	章鱼长袖T恤 黑色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL020	verified
タコロンT 黒	ja	章鱼长袖T恤 黑色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL020	verified
Takoroka Crazy Baseball LS	en	暇古插肩袖上衣 狂热		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL021	verified
ヤコラグランクレイジー	ja	暇古插肩袖上衣 狂热		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL021	verified
Red Cuttlegear LS	en	章鱼长袖T恤 红色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL022	verified
タコロンT 赤	ja	章鱼长袖T恤 红色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL022	verified
Khaki 16-Bit FishFry	en	烧河豚点阵T恤 卡其色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL023	verified
ヤキフグ16bit カーキ	ja	烧河豚点阵T恤 卡其色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL023	verified
Blue 16-Bit FishFry	en	烧河豚点阵T恤 蓝色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#TEL024	verified
