原文	语言	首选简中译名	别名	类别	适用作品	备注	依据	状态
ハイドラント圧	ja	消防栓旋转枪 压		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Spinner_Hyper_02	verified
Mini Splatling	en	斯普拉旋转枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Spinner_Quick_00	verified
スプラスピナー	ja	斯普拉旋转枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Spinner_Quick_00	verified
Zink Mini Splatling	en	斯普拉旋转枪 联名		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Spinner_Quick_01	verified
スプラスピナーコラボ	ja	斯普拉旋转枪 联名		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Spinner_Quick_01	verified
Mini Splatling RTL-R	en	斯普拉旋转枪PYTN		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Spinner_Quick_02	verified
スプラスピナーPYTN	ja	斯普拉旋转枪PYTN		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Spinner_Quick_02	verified
Nautilus 47	en	鹦鹉螺号47		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Spinner_Serein_00	verified
ノーチラス47	ja	鹦鹉螺号47		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Spinner_Serein_00	verified
Nautilus 79	en	鹦鹉螺号79		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Spinner_Serein_01	verified
ノーチラス79	ja	鹦鹉螺号79		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Spinner_Serein_01	verified
Heavy Splatling	en	桶装旋转枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Spinner_Standard_00	verified
バレルスピナー	ja	桶装旋转枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Spinner_Standard_00	verified
Heavy Splatling Deco	en	桶装旋转枪 装饰		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Spinner_Standard_01	verified
バレルスピナーデコ	ja	桶装旋转枪 装饰		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Spinner_Standard_01	verified
Order Splatling Replica	en	秩序旋转枪 复制		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Spinner_Standard_O	verified
オーダースピナー レプリカ	ja	秩序旋转枪 复制		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Spinner_Standard_O	verified
Grizzco Stringer	en	熊先生印章猎鱼弓		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Stringer_Bear_Coop	verified
クマサン印のストリンガー	ja	熊先生印章猎鱼弓		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Stringer_Bear_Coop	verified
Wellstring V	en	邦普V		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Stringer_Explosion_00	verified
フルイドV	ja	邦普V		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Stringer_Explosion_00	verified
Custom Wellstring V	en	邦普V 改装		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Stringer_Explosion_01	verified
フルイドVカスタム	ja	邦普V 改装		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Stringer_Explosion_01	verified
Tri-Stringer	en	三发猎鱼弓		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Stringer_Normal_00	verified
トライストリンガー	ja	三发猎鱼弓		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Stringer_Normal_00	verified
Inkline Tri-Stringer	en	三发猎鱼弓 联名		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Stringer_Normal_01	verified
トライストリンガーコラボ	ja	三发猎鱼弓 联名		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Stringer_Normal_01	verified
Bulbz Tri-Stringer	en	三发猎鱼弓 灯		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Stringer_Normal_02	verified
トライストリンガー燈	ja	三发猎鱼弓 灯		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Stringer_Normal_02	verified
Order Stringer Replica	en	秩序猎鱼弓 复制		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Stringer_Normal_O	verified
オーダーストリンガー レプリカ	ja	秩序猎鱼弓 复制		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Stringer_Normal_O	verified
REEF-LUX 450	en	LACT-450		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Stringer_Short_00	verified
LACT-450	ja	LACT-450		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Stringer_Short_00	verified
REEF-LUX 450 Deco	en	LACT-450 装饰		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Stringer_Short_01	verified
LACT-450デコ	ja	LACT-450 装饰		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Stringer_Short_01	verified
REEF-LUX 450 MIL-K	en	LACT-450MILK		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Stringer_Short_02	verified
LACT-450MILK	ja	LACT-450MILK		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Stringer_Short_02	verified
Ink Vac	en	吸墨机		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpBlower	verified
キューインキ	ja	吸墨机		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpBlower	verified
Kraken Royale	en	帝王鱿鱼		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpCastle	verified
テイオウイカ	ja	帝王鱿鱼		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpCastle	verified
Crab Tank	en	螃蟹坦克		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpChariot	verified
カニタンク	ja	螃蟹坦克		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpChariot	verified
Splattercolor Screen	en	浮墨幕墙		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpChimney	verified
スミナガシート	ja	浮墨幕墙		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpChimney	verified
Tacticooler	en	能量站		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpEnergyStand	verified
エナジースタンド	ja	能量站		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpEnergyStand	verified
Super Chump	en	诱饵烟花		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpFirework	verified
デコイチラシ	ja	诱饵烟花		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpFirework	verified
ガチホコ	ja	真格鱼虎		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpGachihoko	verified
Big Bubbler	en	巨大防护罩		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpGreatBarrier	verified
グレートバリア	ja	巨大防护罩		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpGreatBarrier	verified
Ink Storm	en	墨雨云		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpInkStorm	verified
アメフラシ	ja	墨雨云		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpInkStorm	verified
Inkjet	en	喷射背包		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpJetpack	verified
ジェットパック	ja	喷射背包		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpJetpack	verified
Killer Wail 5.1	en	喇叭镭射5.1ch		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpMicroLaser	verified
メガホンレーザー5.1ch	ja	喇叭镭射5.1ch		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpMicroLaser	verified
Tenta Missiles	en	多重导弹		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpMultiMissile	verified
マルチミサイル	ja	多重导弹		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpMultiMissile	verified
Booyah Bomb	en	赞气弹		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpNiceBall	verified
ナイスダマ	ja	赞气弹		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpNiceBall	verified
Triple Splashdown	en	终极着陆		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpPogo	verified
ウルトラチャクチ	ja	终极着陆		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpPogo	verified
Wave Breaker	en	弹跳声呐		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpShockSonar	verified
ホップソナー	ja	弹跳声呐		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpShockSonar	verified
Reefslider	en	鲨鱼坐骑		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpSkewer	verified
サメライド	ja	鲨鱼坐骑		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpSkewer	verified
Zipcaster	en	触手喷射		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpSuperHook	verified
ショクワンダー	ja	触手喷射		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpSuperHook	verified
Splashdown	en	超级着陆		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpSuperLanding	verified
スーパーチャクチ	ja	超级着陆		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpSuperLanding	verified
Triple Inkstrike	en	三重龙卷风		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpTripleTornado	verified
トリプルトルネード	ja	三重龙卷风		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpTripleTornado	verified
Trizooka	en	终极发射		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpUltraShot	verified
ウルトラショット	ja	终极发射		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpUltraShot	verified
Ultra Stamp	en	终极印章		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpUltraStamp	verified
ウルトラハンコ	ja	终极印章		特殊武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpUltraStamp	verified
Squid Beakon	en	跳跃信标		副武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Sub#Beacon	verified
ジャンプビーコン	ja	跳跃信标		副武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Sub#Beacon	verified
Curling Bomb	en	冰壶炸弹		副武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Sub#Bomb_Curling	verified
カーリングボム	ja	冰壶炸弹		副武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Sub#Bomb_Curling	verified
Fizzy Bomb	en	碳酸炸弹		副武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Sub#Bomb_Fizzy	verified
タンサンボム	ja	碳酸炸弹		副武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Sub#Bomb_Fizzy	verified
Burst Bomb	en	快速炸弹		副武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Sub#Bomb_Quick	verified
クイックボム	ja	快速炸弹		副武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Sub#Bomb_Quick	verified
Autobomb	en	机器人炸弹		副武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Sub#Bomb_Robot	verified
ロボットボム	ja	机器人炸弹		副武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Sub#Bomb_Robot	verified
Splat Bomb	en	斯普拉炸弹		副武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Sub#Bomb_Splash	verified
スプラッシュボム	ja	斯普拉炸弹		副武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Sub#Bomb_Splash	verified
Suction Bomb	en	吸盘炸弹		副武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Sub#Bomb_Suction	verified
キューバンボム	ja	吸盘炸弹		副武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Sub#Bomb_Suction	verified
Torpedo	en	鱼雷		副武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Sub#Bomb_Torpedo	verified
トーピード	ja	鱼雷		副武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Sub#Bomb_Torpedo	verified
Angle Shooter	en	标线器		副武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Sub#LineMarker	verified
ラインマーカー	ja	标线器		副武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Sub#LineMarker	verified
Point Sensor	en	定点侦测器		副武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Sub#PointSensor	verified
ポイントセンサー	ja	定点侦测器		副武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Sub#PointSensor	verified
Toxic Mist	en	毒雾		副武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Sub#PoisonMist	verified
ポイズンミスト	ja	毒雾		副武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Sub#PoisonMist	verified
Smallfry	en	小鲑鱼		副武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Sub#SalmonBuddy	verified
コジャケ	ja	小鲑鱼		副武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Sub#SalmonBuddy	verified
Splash Wall	en	斯普拉防护墙		副武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Sub#Shield	verified
スプラッシュシールド	ja	斯普拉防护墙		副武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Sub#Shield	verified
Sprinkler	en	洒墨器		副武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Sub#Sprinkler	verified
スプリンクラー	ja	洒墨器		副武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Sub#Sprinkler	verified
Ink Mine	en	墨汁陷阱		副武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Sub#Trap	verified
トラップ	ja	墨汁陷阱		副武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Sub#Trap	verified
Blasters	en	爆破枪		武器类别	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponTypeName#Blaster	verified
ブラスター	ja	爆破枪		武器类别	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponTypeName#Blaster	verified
Brushes	en	画笔		武器类别	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponTypeName#Brush	verified
Chargers	en	蓄力狙击枪		武器类别	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponTypeName#Charger	verified
Rollers	en	滚筒		武器类别	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponTypeName#Roller	verified
Splatanas	en	刮水刀		武器类别	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponTypeName#Saber	verified
Brellas	en	防空伞		武器类别	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponTypeName#Shelter	verified
Shooters	en	射击枪		武器类别	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponTypeName#Shooter	verified
Sloshers	en	泼桶		武器类别	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponTypeName#Slosher	verified
Splatlings	en	旋转枪		武器类别	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponTypeName#Spinner	verified
Stringers	en	猎鱼弓		武器类别	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponTypeName#Stringer	verified
